OrderID,Product,Platform,City,Quantity,TotalAmount,OrderDate
ORD100000,Samsung Galaxy A14,Souq,Cairo,1,16284.02,2024-11-11
ORD100001,Nike Air Max,Jumia,Alexandria,2,13290.4,2024-06-22
ORD100002,Bluetooth Headset,Jumia,Casablanca,3,26648.76,2024-05-27
ORD100003,HP Pavilion Laptop,Souq,Dubai,1,3665.44,2024-07-25
ORD100004,iPhone 13,Souq,Casablanca,2,10420.74,2024-02-19
ORD100005,T-shirt Cotton,Souq,Riyadh,5,99349.3,2024-09-28
ORD100006,T-shirt Cotton,Souq,Casablanca,2,35592.22,2024-07-02
ORD100007,Smartwatch FitPro,Souq,Casablanca,3,39243.42,2024-01-30
ORD100008,T-shirt Cotton,Amazon,Dubai,5,2551.5,2024-09-21
ORD100009,Xiaomi Redmi Note 12,Jumia,Riyadh,3,18979.71,2024-09-26
ORD100010,Samsung Galaxy A14,Jumia,Riyadh,1,10283.51,2024-02-20
ORD100011,Dell Inspiron 3501,Jumia,Casablanca,2,903.58,2024-05-18
ORD100012,HP Pavilion Laptop,Souq,Dubai,3,17713.47,2024-08-09
ORD100013,HP Pavilion Laptop,Jumia,Dubai,4,79412.76,2024-04-06
ORD100014,HP Pavilion Laptop,Jumia,Alexandria,4,71683.28,2024-07-11
ORD100015,Xiaomi Redmi Note 12,Amazon,Cairo,5,79011.35,2024-02-02
ORD100016,Samsung Galaxy A14,Souq,Alexandria,5,17648.85,2024-05-09
ORD100017,Dell Inspiron 3501,Amazon,Cairo,3,39743.31,2024-12-17
ORD100018,iPhone 13,Amazon,Giza,2,27872.98,2024-01-24
ORD100019,T-shirt Cotton,Souq,Cairo,3,17859.75,2024-03-12
ORD100020,Adidas Running Shoes,Amazon,Dubai,4,38867.8,2024-06-28
ORD100021,Samsung Galaxy A14,Jumia,Casablanca,4,48538.2,2024-01-28
ORD100022,iPhone 13,Jumia,Alexandria,1,3597.29,2024-04-07
ORD100023,Dell Inspiron 3501,Jumia,Casablanca,3,51262.32,2024-01-07
ORD100024,Samsung Galaxy A14,Souq,Dubai,2,14792.76,2024-02-08
ORD100025,Xiaomi Redmi Note 12,Souq,Casablanca,5,79576.95,2024-01-02
ORD100026,iPhone 13,Souq,Dubai,4,58534.24,2024-05-26
ORD100027,HP Pavilion Laptop,Souq,Giza,1,19624.3,2024-12-22
ORD100028,Bluetooth Headset,Amazon,Giza,2,24189.42,2024-08-28
ORD100029,Smartwatch FitPro,Jumia,Dubai,2,3364.82,2024-09-23
ORD100030,Samsung Galaxy A14,Jumia,Giza,3,19753.53,2024-09-07
ORD100031,HP Pavilion Laptop,Souq,Giza,2,7521.22,2024-05-04
ORD100032,Dell Inspiron 3501,Amazon,Alexandria,4,63124.6,2024-08-08
ORD100033,Adidas Running Shoes,Souq,Alexandria,2,18411.86,2024-11-26
ORD100034,Adidas Running Shoes,Souq,Riyadh,5,44139.8,2024-04-26
ORD100035,iPhone 13,Souq,Casablanca,4,14792.48,2024-06-22
ORD100036,iPhone 13,Souq,Cairo,2,38050.44,2024-09-05
ORD100037,Bluetooth Headset,Amazon,Alexandria,5,37302.45,2024-10-16
ORD100038,Dell Inspiron 3501,Jumia,Dubai,3,26877.15,2024-09-08
ORD100039,Xiaomi Redmi Note 12,Jumia,Dubai,4,64637.44,2024-03-24
ORD100040,HP Pavilion Laptop,Souq,Giza,5,70265.85,2024-02-19
ORD100041,Dell Inspiron 3501,Amazon,Casablanca,5,27759.65,2024-06-24
ORD100042,Xiaomi Redmi Note 12,Souq,Dubai,4,51411.64,2024-11-28
ORD100043,Nike Air Max,Souq,Cairo,5,40646.8,2024-01-23
ORD100044,iPhone 13,Jumia,Casablanca,2,17090.32,2024-10-15
ORD100045,Nike Air Max,Jumia,Dubai,4,49551.88,2024-01-03
ORD100046,T-shirt Cotton,Amazon,Giza,1,10278.34,2024-07-24
ORD100047,Nike Air Max,Jumia,Giza,5,57880.2,2024-11-24
ORD100048,Xiaomi Redmi Note 12,Jumia,Casablanca,3,36336.42,2024-11-29
ORD100049,Xiaomi Redmi Note 12,Souq,Casablanca,4,8846.56,2024-05-10
ORD100050,HP Pavilion Laptop,Jumia,Cairo,5,15624.2,2024-01-13
ORD100051,iPhone 13,Amazon,Riyadh,2,1513.46,2024-12-23
ORD100052,iPhone 13,Souq,Riyadh,1,14895.57,2024-10-01
ORD100053,Dell Inspiron 3501,Jumia,Dubai,1,18273.23,2024-04-09
ORD100054,Adidas Running Shoes,Amazon,Alexandria,5,50027.65,2024-07-03
ORD100055,HP Pavilion Laptop,Amazon,Alexandria,4,16505.0,2024-08-09
ORD100056,Adidas Running Shoes,Amazon,Giza,5,99077.9,2024-02-05
ORD100057,Adidas Running Shoes,Amazon,Casablanca,3,6770.22,2024-05-26
ORD100058,HP Pavilion Laptop,Amazon,Giza,4,5930.96,2024-07-02
ORD100059,iPhone 13,Souq,Alexandria,1,7877.19,2024-11-30
ORD100060,iPhone 13,Souq,Riyadh,3,38911.23,2024-09-10
ORD100061,Xiaomi Redmi Note 12,Jumia,Casablanca,2,25338.48,2024-03-15
ORD100062,Bluetooth Headset,Amazon,Riyadh,4,54201.36,2024-05-05
ORD100063,Smartwatch FitPro,Jumia,Giza,2,37221.1,2024-03-05
ORD100064,T-shirt Cotton,Jumia,Dubai,3,36929.28,2024-01-04
ORD100065,Dell Inspiron 3501,Souq,Riyadh,2,21076.26,2024-02-26
ORD100066,Bluetooth Headset,Amazon,Dubai,1,2059.56,2024-04-18
ORD100067,Adidas Running Shoes,Amazon,Riyadh,1,867.36,2024-07-03
ORD100068,Bluetooth Headset,Souq,Casablanca,2,39036.02,2024-05-06
ORD100069,iPhone 13,Souq,Dubai,1,5639.27,2024-12-02
ORD100070,Xiaomi Redmi Note 12,Souq,Giza,5,26691.5,2024-08-30
ORD100071,Dell Inspiron 3501,Amazon,Dubai,2,31192.78,2024-01-16
ORD100072,Nike Air Max,Jumia,Cairo,4,15853.72,2024-03-27
ORD100073,Samsung Galaxy A14,Amazon,Dubai,4,31526.32,2024-10-29
ORD100074,Adidas Running Shoes,Amazon,Cairo,1,8551.18,2024-05-22
ORD100075,iPhone 13,Souq,Alexandria,1,13558.27,2024-11-04
ORD100076,Nike Air Max,Souq,Dubai,3,51316.17,2024-12-26
ORD100077,Smartwatch FitPro,Amazon,Casablanca,2,30576.94,2024-07-18
ORD100078,Xiaomi Redmi Note 12,Souq,Cairo,5,95432.5,2024-10-04
ORD100079,Bluetooth Headset,Souq,Giza,4,30256.72,2024-05-10
ORD100080,Nike Air Max,Souq,Alexandria,2,15839.76,2024-02-11
ORD100081,Adidas Running Shoes,Souq,Giza,3,53363.76,2024-11-22
ORD100082,Smartwatch FitPro,Amazon,Giza,4,19576.48,2024-05-04
ORD100083,T-shirt Cotton,Jumia,Casablanca,2,19149.76,2024-06-07
ORD100084,T-shirt Cotton,Souq,Dubai,4,44906.0,2024-04-17
ORD100085,Adidas Running Shoes,Jumia,Casablanca,4,6276.24,2024-09-21
ORD100086,iPhone 13,Amazon,Giza,5,27460.65,2024-01-15
ORD100087,Xiaomi Redmi Note 12,Amazon,Cairo,2,2105.26,2024-12-26
ORD100088,Smartwatch FitPro,Jumia,Cairo,4,58858.32,2024-11-09
ORD100089,Samsung Galaxy A14,Souq,Casablanca,1,5026.21,2024-10-19
ORD100090,Dell Inspiron 3501,Souq,Cairo,4,56656.56,2024-06-27
ORD100091,Bluetooth Headset,Souq,Dubai,5,8016.9,2024-10-02
ORD100092,HP Pavilion Laptop,Amazon,Casablanca,1,2604.4,2024-08-19
ORD100093,Smartwatch FitPro,Jumia,Alexandria,3,26769.51,2024-07-24
ORD100094,Smartwatch FitPro,Souq,Casablanca,1,6220.11,2024-04-01
ORD100095,Xiaomi Redmi Note 12,Souq,Riyadh,4,12518.36,2024-03-26
ORD100096,Samsung Galaxy A14,Amazon,Giza,3,1076.22,2024-03-26
ORD100097,Samsung Galaxy A14,Souq,Giza,1,18847.29,2024-04-18
ORD100098,Smartwatch FitPro,Souq,Dubai,2,13117.0,2024-10-23
ORD100099,T-shirt Cotton,Souq,Casablanca,5,88249.3,2024-03-26
ORD100100,Xiaomi Redmi Note 12,Jumia,Cairo,1,9543.53,2024-09-16
ORD100101,Adidas Running Shoes,Souq,Cairo,5,62768.6,2024-10-28
ORD100102,Smartwatch FitPro,Souq,Riyadh,2,5569.54,2024-08-15
ORD100103,HP Pavilion Laptop,Jumia,Cairo,5,95127.15,2024-11-22
ORD100104,Bluetooth Headset,Amazon,Giza,3,55926.66,2024-05-03
